id,index,match_id,period,timestamp,minute,second,event_type_id,event_type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,player_position_id,player_position_name,location_x,location_y,end_location_x,end_location_y,end_location_z,impact_height,duration,under_pressure,counterpress,substituted_player_id,substituted_player_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_cross,pass_cut_back,pass_switch,assisted_shot_id,key_pass_id,follows_dribble,one_on_one,open_goal,statsbomb_xg,off_camera,out,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,outcome_id,outcome_name,type_id,type_name,card_id,card_name,body_part_id,body_part_name,technique_id,technique_name,position_id,position_name,advantage,aerial_won,backheel,defensive,deflected,deflection,first_time,in_chain,miscommunication,nutmeg,offensive,overrun,penalty,recovery_failure,redirect,save_block,through_ball,throw_in,early_video_end,late_video_start,match_suspended,related_events,freeze_frame_player_id,freeze_frame_player_name,freeze_frame_player_position_id,freeze_frame_player_position_name,freeze_frame_teammate,freeze_frame_x,freeze_frame_y,formation_player_id,formation_player_name,formation_position_id,formation_position_name,formation_jersey_number,shot_shot_assist,shot_goal_assist,pass_cluster_id,pass_cluster_label,pass_cluster_probability,pass_success_probability,shot_execution_xg,shot_execution_xg_uplift,gk_save_difficulty_xg,gk_positioning_xg_suppression,gk_shot_stopping_xg_suppression
962f2dba-ce79-4d10-8f7c-4b81e4cd871e,1412,3857292,1,00:33:52.938,33,52,2,Ball Recovery,61,770,Germany,1,Regular Play,770,Germany,10287,İlkay Gündoğan,11,Left Defensive Midfield,70.2,20.5,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,
141785a6-5e8b-42fa-b298-cfab21374ba9,1413,3857292,1,00:33:52.938,33,52,43,Carries,61,770,Germany,1,Regular Play,770,Germany,10287,İlkay Gündoğan,11,Left Defensive Midfield,70.2,20.5,81.5,26.0,,,4.971434,false,false,,,,,,,,,,,,,,false,,,,false,false,0.025604352,0.020625245,0.0049791075,0.00891159,0.009763879,-8.522887E-4,0.005831396,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"962f2dba-ce79-4d10-8f7c-4b81e4cd871e, bc66cc9e-7a5e-42bd-98d0-572e915d2583",,,,,,,,,,,,,,,,,,,,,,,
bc66cc9e-7a5e-42bd-98d0-572e915d2583,1414,3857292,1,00:33:57.909,33,57,30,Pass,61,770,Germany,1,Regular Play,770,Germany,10287,İlkay Gündoğan,11,Left Defensive Midfield,81.5,26.0,92.7,32.9,,,0.861749,false,false,,,6324,Leon Goretzka,13.154847,0.552153,1,Ground Pass,false,false,false,,,false,,,,false,false,0.040461726,0.025604352,0.014857374,0.009039143,0.00891159,1.27553E-4,0.014729821,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,474c26e8-fccb-42a6-8841-35539819728f,,,,,,,,,,,,,,,2,Attacking third - Center - To right - Short - Ground Pass,0.7745733943,0.7558646798,,,,,
474c26e8-fccb-42a6-8841-35539819728f,1415,3857292,1,00:33:58.771,33,58,42,Ball Receipt*,61,770,Germany,1,Regular Play,770,Germany,6324,Leon Goretzka,9,Right Defensive Midfield,92.7,32.9,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,bc66cc9e-7a5e-42bd-98d0-572e915d2583,,,,,,,,,,,,,,,,,,,,,,,
ff91cf89-4249-4fd4-9d10-6070c9cb42de,1416,3857292,1,00:33:58.771,33,58,43,Carries,61,770,Germany,1,Regular Play,770,Germany,6324,Leon Goretzka,9,Right Defensive Midfield,92.7,32.9,93.1,34.6,,,1.303074,false,false,,,,,,,,,,,,,,false,,,,false,false,0.041621838,0.040461726,0.0011601113,0.008597447,0.009039143,-4.416965E-4,0.0016018078,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"23b6b26a-293c-4d5e-9889-5a5ce0b7ad8c, 474c26e8-fccb-42a6-8841-35539819728f",,,,,,,,,,,,,,,,,,,,,,,
23b6b26a-293c-4d5e-9889-5a5ce0b7ad8c,1417,3857292,1,00:34:00.074,34,0,30,Pass,61,770,Germany,1,Regular Play,770,Germany,6324,Leon Goretzka,9,Right Defensive Midfield,93.1,34.6,86.7,57.1,,,1.445301,false,false,,,5579,Joshua Kimmich,23.39252,1.8479216,1,Ground Pass,false,false,false,d9d27d20-35bc-42bc-ac53-059ad519f781,,false,,,,false,false,0.028385662,0.041621838,-0.013236176,0.009235678,0.008597447,6.382316E-4,-0.013874408,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ff32a949-83e3-4eb2-bf08-aaee29c9f5ef,,,,,,,,,,,,,,,2,Attacking third - Center - To right - Short - Ground Pass,0.948855682,0.94205302,,,,,
ff32a949-83e3-4eb2-bf08-aaee29c9f5ef,1418,3857292,1,00:34:01.520,34,1,42,Ball Receipt*,61,770,Germany,1,Regular Play,770,Germany,5579,Joshua Kimmich,2,Right Back,86.7,57.1,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,23b6b26a-293c-4d5e-9889-5a5ce0b7ad8c,,,,,,,,,,,,,,,,,,,,,,,
ab04d91d-70c6-4b90-b56b-1971d57a186f,1419,3857292,1,00:34:01.520,34,1,43,Carries,61,770,Germany,1,Regular Play,770,Germany,5579,Joshua Kimmich,2,Right Back,86.7,57.1,92.4,55.8,,,1.620494,false,false,,,,,,,,,,,,,,false,,,,false,false,0.03532095,0.028385662,0.0069352873,0.008854688,0.009235678,-3.809901E-4,0.0073162774,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"d9d27d20-35bc-42bc-ac53-059ad519f781, ff32a949-83e3-4eb2-bf08-aaee29c9f5ef",,,,,,,,,,,,,,,,,,,,,,,
d9d27d20-35bc-42bc-ac53-059ad519f781,1420,3857292,1,00:34:03.140,34,3,16,Shot,61,770,Germany,1,Regular Play,770,Germany,5579,Joshua Kimmich,2,Right Back,92.4,55.8,116.8,41.8,0.6,0.0,0.984352,false,false,,,,,,,,,,,,,23b6b26a-293c-4d5e-9889-5a5ce0b7ad8c,false,false,false,0.011488004,false,false,0.013018487,0.03532095,-0.022302462,0.008854688,0.008854688,0.0,-0.022302462,100,Saved,87,Open Play,,,40,Right Foot,93,Normal,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8ccbe293-0ef0-46e7-960b-8a004b1da250,,,,,,,,,,,,,false,false,,,,,0.013018487,0.0015304834,0.0038908215,-0.0069137011,0.0038908215
8ccbe293-0ef0-46e7-960b-8a004b1da250,1421,3857292,1,00:34:04.124,34,4,23,Goal Keeper,62,795,Costa Rica,1,Regular Play,795,Costa Rica,5597,Keylor Navas Gamboa,1,Goalkeeper,3.2,38.5,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,0.012050095,0.008639557,0.0034105377,0.0118232835,0.0038908215,0.007932462,-0.004521924,56,Saved Twice,33,Shot Saved,,,39,Left Hand,46,Standing,44,Set,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,d9d27d20-35bc-42bc-ac53-059ad519f781,,,,,,,,,,,,,,,,,,,,,,,
8033d137-27e5-4d73-a0a0-65619ec329dc,1422,3857292,1,00:34:11.692,34,11,30,Pass,63,795,Costa Rica,8,From Keeper,795,Costa Rica,5597,Keylor Navas Gamboa,1,Goalkeeper,14.8,36.9,31.1,47.6,,,1.715799,false,false,,,5582,Celso Borges Mora,19.498205,0.58089036,1,Ground Pass,false,false,false,,,false,,,,false,false,0.01177892,0.012050095,-2.711751E-4,0.015202457,0.0118232835,0.0033791736,-0.0036503486,,,,,,,69,Keeper Arm,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,32877084-cc97-41ee-9165-2076431fbab5,,,,,,,,,,,,,,,33,Defensive third - Center - To right - Short - Ground Pass,0.9909879909,0.9966451526,,,,,
32877084-cc97-41ee-9165-2076431fbab5,1423,3857292,1,00:34:13.408,34,13,42,Ball Receipt*,63,795,Costa Rica,8,From Keeper,795,Costa Rica,5582,Celso Borges Mora,9,Right Defensive Midfield,31.1,47.6,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,8033d137-27e5-4d73-a0a0-65619ec329dc,,,,,,,,,,,,,,,,,,,,,,,
f156020e-709c-4343-973c-c63588471687,1424,3857292,1,00:34:13.408,34,13,43,Carries,63,795,Costa Rica,8,From Keeper,795,Costa Rica,5582,Celso Borges Mora,9,Right Defensive Midfield,31.1,47.6,34.1,41.0,,,1.091501,true,false,,,,,,,,,,,,,,false,,,,false,false,0.013810021,0.01177892,0.002031101,0.0114764,0.015202457,-0.0037260568,0.0057571577,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"32877084-cc97-41ee-9165-2076431fbab5, 61b68dc9-7275-4e9f-ae6f-568ba837d981, 653be154-0728-4ee5-a0aa-ca4ae049e6f4",,,,,,,,,,,,,,,,,,,,,,,
61b68dc9-7275-4e9f-ae6f-568ba837d981,1425,3857292,1,00:34:13.869,34,13,17,Pressure,63,795,Costa Rica,8,From Keeper,770,Germany,39565,Jamal Musiala,19,Center Attacking Midfield,87.1,32.9,,,,,0.589715,false,true,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,f156020e-709c-4343-973c-c63588471687,,,,,,,,,,,,,,,,,,,,,,,
